date,hist_rows,hist_has_nan,v_base,v_rmt,realized,n_replaced,replaced_share,lambda_plus,sigma_bar_sq,q,floor_ref,floor_share,exq_base,exq_rmt
2023-04-03,126,True,4.9046882656974706e-06,3.2531873592515786e-06,1.7700641554999446e-06,195,0.975,0.0024790216178367367,0.00048541025886793043,1.5873015873015872,3.7143835259181794e-08,5.868677681594226e-06,0.3800680296458856,0.15272096000670543
2023-05-02,126,True,4.209007300811901e-06,3.2677696143875544e-06,3.7145628667544274e-06,195,0.975,0.002121679287131904,0.00041544006094635435,1.5873015873015872,3.030948032462051e-08,3.534788722330598e-06,0.007492886868171622,0.008573953330014206
2023-05-31,126,True,4.377353413330869e-06,4.1544052715502256e-06,3.820115714180881e-06,195,0.975,0.0019149036848444027,0.000374951911140894,1.5873015873015872,2.7788862177805567e-08,4.698534073126786e-06,0.008863445128044933,0.0034222839176716313
2023-06-29,126,True,5.0888243378648985e-06,5.061053584073485e-06,3.884158346708324e-06,194,0.97,0.0018762712297272673,0.00036738739863152893,1.5873015873015872,2.6257142525511768e-08,2.8991916227246977e-06,0.03341274952102102,0.03212878864208535
2023-07-28,126,True,4.80672566927243e-06,4.724970056953034e-06,2.871103436338724e-06,194,0.97,0.0017956695741479618,0.00035160501488044416,1.5873015873015872,2.574329127449115e-08,3.916829995357136e-06,0.11262930010265615,0.10580958494560266
2023-08-28,126,True,4.1818725709696435e-06,4.306887321184252e-06,1.8947751862119707e-06,193,0.965,0.001759051139411416,0.0003444348620439731,1.5873015873015872,2.4904733137217486e-08,3.910856211786025e-06,0.24475145458212966,0.26105598560873244
2023-09-26,126,True,4.506729932663644e-06,4.208478078404042e-06,4.398876756479652e-06,193,0.965,0.0016203170954590996,0.0003172697386323209,1.5873015873015872,2.1228954925151652e-08,3.90200148915684e-06,0.00029101261203945405,0.0009935492079877761
2023-10-25,126,True,3.5382045031935633e-06,3.212550980925388e-06,3.347383692718257e-06,193,0.965,0.0016421864334444122,0.0003215519122674118,1.5873015873015872,2.2560716892456474e-08,3.5796855332967984e-06,0.0015088045677180695,0.0008568722837454246
2023-11-23,126,True,4.098518550617084e-06,3.477033951583246e-06,2.2877536775584818e-06,193,0.965,0.0016464541684768864,0.0003223875654751078,1.5873015873015872,2.3434968131816462e-08,3.495444109349521e-06,0.14124556227070073,0.07657047913171722
2023-12-22,126,True,4.385299083486876e-06,3.60822312128723e-06,1.9939575898701532e-06,193,0.965,0.0016258866383552966,0.0003183602951807459,1.5873015873015872,2.3084829027572917e-08,3.970053865701531e-06,0.24282778381128245,0.14570886387361814
2024-01-22,126,True,3.522761113722137e-06,2.7042253185352008e-06,4.87092566609939e-06,194,0.97,0.0015319719082704767,0.00029997111571011066,1.5873015873015872,2.0689919089622547e-08,4.268174322582136e-06,0.05866219497368008,0.21275923100446992
2024-02-20,126,True,3.8091703632017845e-06,2.8449968479513e-06,7.876431828723112e-06,193,0.965,0.0016129971826250836,0.0003158364470635483,1.5873015873015872,2.2654672136261563e-08,4.319428409652024e-06,0.34129162594503093,0.7502073780047607
