,spearman_ic
2021-01-28,-0.019306973515633857
2021-01-29,-0.0052638718340794035
2021-02-01,-0.1053069689476334
2021-02-02,-0.17462123406402236
2021-02-03,-0.14995975520817
2021-02-04,-0.08281152905310563
2021-02-05,-0.1345398389165023
2021-02-08,-0.13133813393558808
2021-02-09,-0.098775246381608
2021-02-10,-0.08890517740262764
2021-02-11,-0.062055618305705613
2021-02-12,-0.0019317914589570308
2021-02-16,-0.008728194304017244
2021-02-17,-0.12193911685286862
2021-02-18,-0.07709039379333957
2021-02-19,-0.021605106796643313
2021-02-22,0.04829784149468322
2021-02-23,0.03722542792945402
2021-02-24,0.012287293486439397
2021-02-25,0.2253322210275477
2021-02-26,0.07517896913943216
2021-03-01,-0.039343575654615125
2021-03-02,0.11528731832366074
2021-03-03,0.23033736336849334
2021-03-04,0.26598843726761123
2021-03-05,0.12640453885999914
2021-03-08,0.17311173288030657
2021-03-09,0.19334513535685757
2021-03-10,0.15734884411214847
2021-03-11,0.17229400565756406
2021-03-12,0.15455655513984473
2021-03-15,0.09255389052726815
2021-03-16,0.0863908953192513
2021-03-17,0.12717134907011754
2021-03-18,0.2177679896321166
2021-03-19,0.047624718587793075
2021-03-22,0.09826576100343577
2021-03-23,0.14950049578627506
2021-03-24,0.05840385016030767
2021-03-25,0.06064216203526157
2021-03-26,-0.03572948609855898
2021-03-29,0.02061018836996908
2021-03-30,-0.00402651735831107
2021-03-31,-0.08817400910134605
2021-04-01,-0.1254951610145333
2021-04-05,-0.1841984032090705
2021-04-06,-0.1983523143783081
2021-04-07,-0.1984398916400215
2021-04-08,-0.18612204794600767
2021-04-09,-0.20226375928808882
2021-04-12,-0.22012646565686333
2021-04-13,-0.28046007059562306
2021-04-14,-0.054791797284756485
2021-04-15,-0.05431928740760515
2021-04-16,-0.21742888232804033
2021-04-19,0.007732257537090529
2021-04-20,-0.1979765468251425
2021-04-21,0.04651269103208349
2021-04-22,0.08002626874124316
2021-04-23,-0.15445268443409163
2021-04-26,-0.06132954170568644
2021-04-27,-0.06686218429741736
2021-04-28,-0.08092444484393166
2021-04-29,-0.20038084816125087
2021-04-30,-0.20416805556022882
2021-05-03,-0.16185805475013565
2021-05-04,-0.22410715770381273
2021-05-05,-0.14059612861857856
2021-05-06,-0.08295399696712691
2021-05-07,-0.09391133808382572
2021-05-10,0.019884111769949912
2021-05-11,-0.05591095322223344
2021-05-12,0.056383463099384766
2021-05-13,-0.008945100777795761
2021-05-14,0.0238770238999291
2021-05-17,-0.012115193983770055
2021-05-18,0.0856332501714052
2021-05-19,0.0028004356943235817
2021-05-20,0.011196651076031922
2021-05-21,0.09745923552347058
2021-05-24,0.062148287268681414
2021-05-25,0.14526725535671028
2021-05-26,0.10431164708241726
2021-05-27,0.12969174119500876
2021-05-28,0.24538945064041948
2021-06-01,0.34287821803121205
2021-06-02,0.3794345964147858
2021-06-03,0.3550127604797792
2021-06-04,0.3467876262604877
2021-06-07,0.37038256991047946
2021-06-08,0.32152362293667913
2021-06-09,0.35034672544290985
2021-06-10,0.3591146350167739
2021-06-11,0.342196948402302
2021-06-14,0.35459931433727176
2021-06-15,0.3558651112711061
2021-06-16,0.37790606769581137
2021-06-17,0.37412598867860075
2021-06-18,0.40714261634454957
2021-06-21,0.42717846081211924
2021-06-22,0.47215243972270343
2021-06-23,0.39464758144660395
2021-06-24,0.3792818453769136
2021-06-25,0.3458222397011354
2021-06-28,0.26665443179273407
2021-06-29,0.22756340452073429
2021-06-30,0.1335665258557001
2021-07-01,0.19264655394365537
2021-07-02,0.08170653015783731
2021-07-06,0.06358414702468004
2021-07-07,0.0445462760045421
2021-07-08,0.08128799231406748
2021-07-09,0.09790221353329993
2021-07-12,0.08596828411447155
2021-07-13,0.043625696416299
2021-07-14,0.034953510826168224
2021-07-15,0.023199827632029036
2021-07-16,0.0688326726859687
